2FA	Two-Factor Authentication	A specific form of multi-factor authentication requiring two authentication factors.
ABI	Application Binary Interface	Defines how compiled software components interact at the binary level.
ACID	Atomicity Consistency Isolation Durability	Properties that help ensure database transactions remain reliable.
ACL	Access Control List	A list defining which users or systems are allowed or denied access to a resource.
ActiveX	Reusable COM components for web	Reusable software components based on COM.
ADL	Argument-Dependent Lookup	Also called “Koenig lookup.” When looking up a function name, the compiler also searches the namespaces of the function’s arguments.
aggregate initialization	Brace-enclosed list for aggregates	Initialize a struct or array by listing values in order.
alignment	Memory address layout	`int` wants 4-byte alignment, `double` wants 8-byte. Misaligned access is slow (or crashes on some architectures). Compilers pad structs to maintain alignment.
AOT	Ahead-Of-Time	A technique where code is compiled before the program runs.
apartment	Threading model boundary in COM	A threading concept, not a physical container. STA = one thread; calls into it are marshaled. MTA = shared across threads. Objects in different apartments communicate via marshaling.
API	Application Programming Interface	A defined interface through which software components communicate.
ARC	Automatic Reference Counting	The compiler inserts `retain`/`release`/`autorelease` calls at compile time. Not garbage collection — deterministic, reference-counted.
ARP	Address Resolution Protocol	A protocol used to determine the hardware address associated with an IPv4 address on a local network.
ASan	AddressSanitizer	A runtime checker for memory errors. Catches buffer overflows, use-after-free, and double-free. Fast enough for testing. `-fsanitize=address` in GCC/Clang.
ATL	Active Template Library	Microsoft’s template library for building COM objects. Lighter weight than MFC, focused on COM. Uses macros extensively. Good for small, fast COM DLLs.
automatic storage	Local variables on the stack	`int x = 5;` — x is automatic. Created when entering the block, destroyed when leaving. Fast, scoped, no cleanup needed.
autorelease	Delayed release at runloop end	`[obj autorelease]` — adds the object to the current pool. Pool drains later. Prevents objects from being freed while still in use.
BDD	Behavior-Driven Development	A development approach that describes and tests software behavior in terms meaningful to users and stakeholders.
bisection debugging	Binary search to find an issue	Bisection debugging is like a hi-lo game: test the midpoint, determine whether the bug is before or after it, then keep halving the search area until you find it.
Bohrbug	Predictable bug	The opposite of a Heisenbug. You can reproduce it every time. Named after Bohr’s model of the atom — deterministic and predictable.
buffer overflow	Writing past end of a buffer	Corrupts adjacent memory. Classic security vulnerability. Stack overflows can overwrite return addresses. Heap overflows corrupt allocator metadata.
cache line	Block loaded into CPU cache	Typically 64 bytes. When you read one byte, the CPU loads the whole line. If your data fits in one cache line, it’s fast. If you jump around, you're wasting the load.
cache-friendly	Access pattern working well caches	Sequential access, predictable patterns, data packed together. The CPU preloads nearby memory into cache lines. Cache-friendly code is fast because it avoids cache misses.
cache-hostile	Access pattern causing cache misses	Random access, scattered pointers, large objects spread across memory. The CPU keeps loading cache lines it doesn't use. The same data, accessed differently, can be 100x slower.
cache-oblivious algorithm	Algorithm fast regardless cache size	Works well at any cache line size or cache hierarchy. Uses recursive divide-and-conquer. No need to tune for specific hardware.
CAP	Consistency Availability Partition Tolerance	A theorem describing tradeoffs that arise in distributed data systems when network partitions occur.
capture list	Variables a lambda captures	The `[...]` part of a lambda. Captures by value, by reference, or by move.
CD	Continuous Delivery	Continuous Delivery automates preparing software for release; Continuous Deployment goes further by automatically deploying qualifying changes.
CDN	Content Delivery Network	A distributed network of servers that delivers content from locations closer to users to reduce latency.
CI	Continuous Integration	A development practice where code changes are automatically built and tested frequently.
CI/CD	Continuous Integration / Continuous Delivery	Automated processes for building, testing, packaging, and deploying software.
circular reference	Mutual references that prevent cleanup	Two or more objects, directly or in a chain, each depend on another to free them — so nothing does. A memory leak. Break the cycle with `weak_ptr` or raw pointers.
CLI	Command-Line Interface	A text-based interface for interacting with software.
closure type	Anonymous class generated for lambda	The compiler creates a hidden class for each lambda. Each lambda has a unique, unnamed type — even two lambdas with identical code are different types.
cold code	Code that rarely executes	Error handlers, edge cases, shutdown paths. Don't bother optimizing it — keep it readable. The optimizer might even discard it entirely.
COM	Component Object Model	Microsoft’s binary standard for inter-process communication and object interaction. Objects are accessed through interfaces, not concrete types.
core dump	Process memory snapshot at crash	A file containing the entire memory image of a crashed process. Used for postmortem debugging.
coroutine	Function suspending and resuming	A function that can pause execution and be resumed later. Used for async I/O, generators, and asynchronous algorithms.
CORS	Cross-Origin Resource Sharing	A browser security mechanism controlling whether web pages can request resources from another origin.
CPU	Central Processing Unit	The processor that executes instructions and performs calculations.
CRTP	Curiously Recurring Template Pattern	A base class parameterized with the derived class (e.g., `class Derived : public Base<Derived>`). Used to implement static polymorphism; the base calls derived methods without virtual dispatch.
CRUD	Create Read Update Delete	The basic operations commonly performed on stored data.
CSRF	Cross-Site Request Forgery	A vulnerability where an attacker tricks a user’s authenticated browser into making an unintended request.
CTAD	Class Template Argument Deduction	The compiler deduces template arguments from constructor arguments, so you can skip the explicit types.
CTE	Common Table Expression	A temporary query result that can be referenced in a downstream query. Multiple CTEs can be chained, as long as the final one is used downstream.
CTOR	Constructor	A special method called when an object is created; initializes the object’s state.
CVE	Common Vulnerabilities and Exposures	A standardized identifier assigned to publicly known cybersecurity vulnerabilities.
CVSS	Common Vulnerability Scoring System	A standardized system for rating the severity of security vulnerabilities.
cyclic dependency	Mutual dependency A and B	A cyclic dependency is like a circular chain where A depends on B, B depends on C, and C depends back on A.
dangling pointer	Pointer to freed memory	Pointing to something that no longer exists. Using it is undefined behavior; might crash, might seem to work, might corrupt data.
DBMS	Database Management System	Software used to create, store, retrieve, update, and manage data in databases.
DCL	Data Control Language	SQL commands used to control permissions, such as `GRANT` and `REVOKE`.
DCOM	Remote COM	The COM object lives on another machine, marshaled via network RPC.
DDL	Data Definition Language	SQL commands used to define database structures, such as `CREATE`, `ALTER`, and `DROP`.
DDoS	Distributed Denial of Service	A denial-of-service attack originating from many systems simultaneously.
DDX	Dialog Data Exchange	Bind UI controls to member variables in MFC. `DoDataExchange` runs the bindings.
dead code	Code that cannot be reached	Unreachable branches, commented-out logic, functions nobody calls. The compiler might remove it entirely. Even when it doesn't, it’s a maintenance burden and a source of confusion.
debug symbols	Mapping machine code to source	Without debug symbols, the debugger only sees raw addresses and assembly. With them, it can show you source lines, variable names, and types. Stripped binaries have no debug info.
